,sahm,indpro,sp500,tr10,t10yff,unrate,recession
0,-0.3,24.6496,68.84,4.083181818181818,2.0604545454545455,0.057999999999999996,0
1,-0.17,25.0529,69.96,4.039444444444444,1.6505555555555556,0.055,0
2,-0.17,25.1873,69.55,3.930454545454545,1.0781818181818181,0.055999999999999994,0
3,-0.1,25.241,65.24,3.843,1.043,0.055999999999999994,0
4,-0.07,25.2141,59.63,3.8736363636363635,1.4418181818181817,0.055,0
5,0.0,25.1604,54.75,3.909047619047619,1.2066666666666666,0.055,0
6,-0.07,25.4023,58.23,4.014285714285714,1.3238095238095238,0.054000000000000006,0
7,0.13,25.4292,59.12,3.9756521739130433,1.0299999999999998,0.057,0
8,0.23,25.5905,56.27,3.978947368421052,1.0842105263157895,0.055999999999999994,0
9,0.3,25.6174,56.52,3.9254545454545453,1.0154545454545454,0.054000000000000006,0
10,0.3,25.7249,62.26,3.9157894736842107,0.9736842105263158,0.057,0
11,0.07,25.7249,63.1,3.8645000000000005,0.9489473684210527,0.055,0
12,0.23,25.913,66.2,3.833636363636364,0.9409090909090909,0.057,0
13,0.33,26.2088,64.29,3.921111111111111,0.921111111111111,0.059000000000000004,0
14,0.37,26.37,66.57,3.9285714285714284,0.951904761904762,0.057,0
15,0.33,26.612,69.8,3.970952380952381,1.1014285714285714,0.057,0
16,0.27,26.9345,70.8,3.93,0.93,0.059000000000000004,0
17,0.3,27.0152,69.37,3.993,1.0055,0.055999999999999994,0
18,0.27,26.9076,69.13,4.0204545454545455,1.0540909090909092,0.055999999999999994,0
19,0.07,26.9614,72.5,4.002272727272727,0.5186363636363637,0.054000000000000006,0
20,0.03,27.2302,71.7,4.0775,0.6085,0.055,0
21,0.0,27.4184,74.01,4.106086956521739,0.6113043478260869,0.055,0
22,0.13,27.5528,73.23,4.121764705882353,0.6511764705882354,0.057,0
23,0.13,27.499,75.02,4.128571428571429,0.800952380952381,0.055,0
24,0.13,27.7409,77.04,4.166818181818182,0.6781818181818182,0.055999999999999994,0
25,-0.03,27.9291,77.8,4.145555555555556,0.6733333333333333,0.054000000000000006,0
26,-0.03,27.9291,78.98,4.2195238095238095,0.8261904761904763,0.054000000000000006,0
27,-0.07,28.3861,79.46,4.232272727272727,0.7768181818181819,0.053,0
28,-0.1,28.5474,80.37,4.2,0.706,0.051,0
29,-0.03,28.628,81.69,4.170000000000001,0.67,0.052000000000000005,0
30,-0.17,28.8162,83.18,4.1859090909090915,0.7995454545454546,0.049,0
31,0.0,29.0043,81.83,4.1938095238095245,0.6938095238095238,0.05,0
32,-0.03,29.1119,84.18,4.203809523809523,0.7752380952380953,0.051,0
33,0.1,28.7087,84.86,4.188095238095238,0.8961904761904762,0.051,0
34,0.07,29.5957,84.42,4.152777777777778,0.6377777777777778,0.048,0
35,-0.03,29.9452,84.75,4.179545454545455,0.3727272727272727,0.05,0
36,-0.13,30.2677,87.56,4.189500000000001,0.3395,0.049,0
37,0.03,30.4559,87.43,4.211111111111111,0.25222222222222224,0.051,0
38,-0.07,30.8591,86.16,4.210434782608695,0.1708695652173913,0.047,0
39,0.03,30.9935,89.11,4.203809523809523,0.11714285714285715,0.048,0
40,-0.1,31.2354,88.42,4.2115,0.127,0.046,0
41,0.0,31.4774,84.12,4.213181818181819,0.19772727272727275,0.046,0
42,-0.13,31.7731,85.25,4.204761904761905,0.13,0.044000000000000004,0
43,-0.03,31.9075,87.17,4.252272727272727,0.1340909090909091,0.044000000000000004,0
44,-0.1,31.9881,89.96,4.29047619047619,0.33428571428571424,0.043,0
45,-0.07,32.3107,92.42,4.3495,0.296,0.042,0
46,-0.1,32.4451,91.61,4.448947368421052,0.3589473684210526,0.040999999999999995,0
47,-0.1,32.8483,92.43,4.615454545454546,0.3463636363636364,0.04,0
48,-0.1,33.1709,92.88,4.612380952380953,0.28809523809523807,0.04,0
49,-0.17,33.3859,91.22,4.832105263157895,0.24263157894736845,0.038,0
50,-0.1,33.8429,89.23,4.8734782608695655,0.22956521739130437,0.038,0
51,-0.1,33.8967,91.06,4.75,0.1115,0.038,0
52,0.1,34.2192,86.13,4.7785714285714285,-0.05714285714285714,0.039,0
53,0.17,34.3805,84.74,4.8145454545454545,-0.31772727272727275,0.038,0
54,0.23,34.5687,83.6,5.018,-0.158,0.038,0
55,0.2,34.5955,77.1,5.224347826086956,-0.22304347826086957,0.038,0
56,0.13,34.9181,76.56,5.182380952380952,-0.1285714285714286,0.037000000000000005,0
57,0.13,35.16,80.2,5.0115,-0.45099999999999996,0.037000000000000005,0
58,0.07,34.9181,80.45,5.155263157894737,-0.5947368421052632,0.036000000000000004,0
59,0.0,34.9987,80.33,4.842857142857143,-0.55,0.038,0
60,-0.03,35.1638,86.61,4.579047619047619,-0.29,0.039,0
61,0.07,34.765,86.78,4.626666666666667,-0.35944444444444446,0.038,0
62,0.03,34.5691,90.2,4.541818181818182,0.04181818181818182,0.038,0
63,0.03,34.8951,94.01,4.593500000000001,0.562,0.038,0
64,0.07,34.5907,89.08,4.847727272727273,0.920909090909091,0.038,0
65,0.2,34.5863,90.64,5.0227272727272725,1.055909090909091,0.039,0
66,0.27,34.5076,94.75,5.159000000000001,1.3775,0.038,0
67,0.27,35.1687,93.64,5.275652173913044,1.393913043478261,0.038,0
68,0.3,35.1116,96.71,5.3020000000000005,1.3075,0.038,0
69,0.43,35.3976,93.3,5.480952380952381,1.61,0.04,0
70,0.47,35.9038,94.0,5.7535,1.6145,0.039,0
71,0.27,36.2905,96.47,5.699,1.2029999999999998,0.038,0
72,0.0,36.2514,92.24,5.528636363636363,0.924090909090909,0.037000000000000005,0
73,-0.03,36.3813,89.36,5.563684210526316,0.8778947368421053,0.038,0
74,-0.03,36.4949,90.2,5.74,0.720952380952381,0.037000000000000005,0
75,0.0,36.5477,97.46,5.6385,-0.10049999999999999,0.035,0
76,-0.07,36.9577,98.68,5.869545454545454,-0.22363636363636363,0.035,0
77,0.07,37.0934,99.58,5.718,-0.365,0.037000000000000005,0
78,0.13,37.0366,97.74,5.495454545454546,-0.5409090909090909,0.037000000000000005,0
79,0.13,37.1399,98.86,5.420454545454546,-0.6104545454545455,0.035,0
80,0.07,37.2806,102.67,5.46,-0.2915,0.034,0
